Equipment No,Equipment Name,Owner Name,Availability,District,Phone Number,Rent Per Hour (INR)
EQ-1001,Tractor,V. Krishna,Available,Nalgonda,9249827706,777
EQ-1002,Paddy Transplanter,K. Ramakrishna,Available,Medak,8134126396,107
EQ-1003,Tractor,M. Venkatesh,Available,Mahabubnagar,9868820204,732
EQ-1004,Tractor,P. Rajesh,Available,Nizamabad,7398704996,403
EQ-1005,Sprayer (Battery Powered),M. Narsimha,Rented Out,Warangal,8266944844,155
EQ-1006,Tractor,M. Narsimha,Available,Karimnagar,9485451171,576
EQ-1007,Tractor,A. Venkat Reddy,Available,Siddipet,8675770529,463
EQ-1008,Tractor,S. Rajender,Available,Yadadri Bhuvanagiri,7764130526,585
EQ-1009,Tractor,T. Ravi,Available,Hyderabad,7344703907,795
EQ-1010,Balers,Mohammad Ali,Available,Yadadri Bhuvanagiri,9508157429,171
EQ-1011,Seed Drill,J. Prakash,Available,Warangal,8324956459,168
EQ-1012,Chaff Cutter,P. Rajesh,Available,Medak,7283758720,236
EQ-1013,Tractor,K. Ashok,Rented Out,Karimnagar,8787194506,752
EQ-1014,Tractor,D. Mohan,Available,Yadadri Bhuvanagiri,9345938494,416
EQ-1015,Tractor,B. Laxman,Available,Nalgonda,7870854579,561
EQ-1016,Power Weeder,G. Bhaskar,Rented Out,Medchal-Malkajgiri,8249926919,163
EQ-1017,Paddy Transplanter,K. Ashok,Available,Siddipet,7560027313,249
EQ-1018,Seed Drill,S. Rajender,Available,Medchal-Malkajgiri,7629908599,123
EQ-1019,Rotavator,M. Narsimha,Available,Medchal-Malkajgiri,7271779360,474
EQ-1020,Tractor,K. Sridhar,Rented Out,Karimnagar,7602564736,670
EQ-1021,Balers,P. Satyanarayana,Available,Sangareddy,7222998994,237
EQ-1022,Cultivator,M. Narsimha,Available,Ranga Reddy,8566825638,140
EQ-1023,Tractor,J. Prakash,Available,Mahabubnagar,9645119047,454
EQ-1024,Cultivator,V. Krishna,Available,Medchal-Malkajgiri,8918739736,141
EQ-1025,Post Hole Digger,D. Mohan,Available,Medak,8624636385,104
EQ-1026,Balers,K. Ramakrishna,Available,Nalgonda,9358633898,245
EQ-1027,Power Tiller,M. Venkatesh,Rented Out,Yadadri Bhuvanagiri,9916690353,436
EQ-1028,Combine Harvester,M. Narsimha,Available,Sangareddy,8690347116,1169
EQ-1029,Tractor,P. Satyanarayana,Rented Out,Nalgonda,7910959828,773
EQ-1030,Disc Harrow,P. Rajesh,Available,Karimnagar,7797801251,195
EQ-1031,Paddy Transplanter,J. Prakash,Rented Out,Ranga Reddy,9341266931,116
EQ-1032,Rotavator,B. Laxman,Available,Medak,9107721109,318
EQ-1033,Chaff Cutter,P. Rajesh,Available,Nalgonda,9133729406,184
EQ-1034,Paddy Transplanter,M. Venkatesh,Available,Khammam,7621209849,154
EQ-1035,Combine Harvester,D. Mohan,Rented Out,Nalgonda,8967043303,1416
EQ-1036,Tractor,G. Bhaskar,Rented Out,Warangal,8541417711,639
EQ-1037,Rotavator,K. Ashok,Available,Hyderabad,8881913386,386
EQ-1038,Tractor,K. Ramakrishna,Available,Mahabubnagar,8250519597,616
EQ-1039,Tractor,Chandra Sekhar,Available,Yadadri Bhuvanagiri,9575808013,681
EQ-1040,Rotavator,K. Ramakrishna,Available,Ranga Reddy,9278575192,404
EQ-1041,Tractor,M. Raju,Rented Out,Jagtial,9276777762,594
EQ-1042,Cultivator,Ramesh Kumar,Rented Out,Khammam,8847959430,242
EQ-1043,Combine Harvester,G. Mohan Rao,Available,Khammam,9162795957,1593
EQ-1044,Paddy Transplanter,K. Ashok,Available,Siddipet,8161380746,112
EQ-1045,Thresher,T. Ravi,Available,Hyderabad,7186019028,347
EQ-1046,Laser Land Leveler,M. Venkatesh,Available,Sangareddy,9533550699,1122
EQ-1047,Disc Harrow,T. Ravi,Available,Medak,9550139320,249
EQ-1048,Paddy Transplanter,T. Ravi,Available,Jagtial,8319321646,180
EQ-1049,Tractor,Y. Srinivasa Rao,Available,Sangareddy,7422119408,634
EQ-1050,Post Hole Digger,B. Laxman,Available,Hyderabad,8766964667,244
EQ-1051,Power Tiller,K. Ramakrishna,Available,Mahabubnagar,8242224154,389
EQ-1052,Disc Harrow,M. Venkatesh,Available,Khammam,9570497096,239
EQ-1053,Cultivator,P. Rajesh,Available,Sangareddy,7421455482,126
EQ-1054,Tractor,Anil Kumar,Available,Siddipet,7266910922,539
EQ-1055,Sprayer (Battery Powered),Mohammad Ali,Available,Nalgonda,7781007818,167
EQ-1056,Tractor,K. Naresh,Available,Ranga Reddy,7554811020,541
EQ-1057,Tractor,Suresh Reddy,Available,Sangareddy,8273497327,779
EQ-1058,Paddy Transplanter,J. Prakash,Rented Out,Mahabubnagar,9220123666,119
EQ-1059,Combine Harvester,P. Rajesh,Available,Yadadri Bhuvanagiri,8725464884,1565
EQ-1060,Power Weeder,Anil Kumar,Available,Hyderabad,8491541578,110
EQ-1061,Tractor,N. Mahender,Available,Sangareddy,9479759538,799
EQ-1062,Balers,D. Mohan,Rented Out,Medak,7265950383,160
EQ-1063,Post Hole Digger,Chandra Sekhar,Available,Jagtial,8126614158,145
EQ-1064,Seed Drill,K. Ashok,Rented Out,Suryapet,7889262019,163
EQ-1065,Combine Harvester,P. Satyanarayana,Available,Karimnagar,9605399561,1227
EQ-1066,Balers,G. Bhaskar,Rented Out,Warangal,8981044229,158
EQ-1067,Rotavator,Y. Srinivasa Rao,Available,Karimnagar,8399147754,317
EQ-1068,Cultivator,M. Narsimha,Available,Sangareddy,7529151399,237
EQ-1069,Rotavator,B. Laxman,Available,Jagtial,8291735734,448
EQ-1070,Rotavator,P. Satyanarayana,Available,Medak,8471178705,486
EQ-1071,Power Weeder,B. Laxman,Available,Karimnagar,7304095531,165
EQ-1072,Sprayer (Battery Powered),Suresh Reddy,Rented Out,Hyderabad,7965984448,237
EQ-1073,Sprayer (Battery Powered),G. Mohan Rao,Available,Warangal,8175133802,184
EQ-1074,Seed Drill,A. Venkat Reddy,Available,Siddipet,8644518647,179
EQ-1075,Tractor,G. Mohan Rao,Rented Out,Siddipet,8695295870,465
EQ-1076,Power Weeder,G. Bhaskar,Rented Out,Sangareddy,7286860433,245
EQ-1077,Tractor,Mohammad Ali,Available,Khammam,8325681936,620
EQ-1078,Laser Land Leveler,T. Ravi,Available,Nizamabad,8574765466,1691
EQ-1079,Paddy Transplanter,G. Bhaskar,Rented Out,Suryapet,7282204745,121
EQ-1080,Paddy Transplanter,Mohammad Ali,Available,Ranga Reddy,9822408848,179
EQ-1081,Post Hole Digger,Y. Srinivasa Rao,Available,Medchal-Malkajgiri,9149621604,162
EQ-1082,Laser Land Leveler,M. Raju,Available,Nizamabad,8776205431,1589
EQ-1083,Sprayer (Battery Powered),G. Bhaskar,Rented Out,Nizamabad,8361976301,137
EQ-1084,Sprayer (Battery Powered),V. Krishna,Available,Jagtial,9935822550,208
EQ-1085,Combine Harvester,Y. Srinivasa Rao,Rented Out,Hyderabad,7367574609,1124
EQ-1086,Combine Harvester,J. Prakash,Rented Out,Sangareddy,7700141462,1609
EQ-1087,Post Hole Digger,B. Laxman,Rented Out,Medak,7642001424,209
EQ-1088,Thresher,D. Mohan,Available,Siddipet,8583258726,366
